blockchain,pair,dex,ticker,supply,supply_apr,borrowed,borrowed_apr,leveraged_apr,leveraged_apr_multiplier,contract
AVAX,WETH.e/AVAX,TraderJoe,AVAX,1018779.0,0.4711,698175.0,0.7789,55.72%,(10x),0x17a57f77e31752ca1455ea7946c7df54fb4ea876
AVAX,AVAX/IMX.a,PangolinV2,AVAX,514065.0,0.6614,350255.0,1.1386,254.94%,(5x),0xde0037afbe805c00d3cec67093a40882880779b7
AVAX,AVAX/IMX.a,PangolinV2,IMX.a,485348.0,0.7384000000000001,361879.0,1.2490999999999999,254.94%,(5x),0xde0037afbe805c00d3cec67093a40882880779b7
AVAX,AVAX/SPELL,PangolinV2,AVAX,405036.0,0.6648999999999999,249768.0,1.1306,420.29%,(5x),0x6ca300f7b764580e52889341e8941cca7cfca727
AVAX,AVAX/SPELL,PangolinV2,SPELL,408088.0,0.5163,243148.0,0.9307,420.29%,(5x),0x6ca300f7b764580e52889341e8941cca7cfca727
AVAX,USDC.e/AVAX,TraderJoe,USDC.e,271412.0,0.2576,179991.0,0.4585,89.43%,(5x),0xc05227adce1a291752e90bc989f71c4c534d26d5
AVAX,USDC.e/AVAX,TraderJoe,AVAX,273072.0,0.5532,174733.0,0.9161,89.43%,(5x),0xc05227adce1a291752e90bc989f71c4c534d26d5
AVAX,WBTC.e/AVAX,PangolinV2,WBTC.e,169627.0,0.1449,128768.0,0.2433,-156.36%,(10x),0x7140d22afc110741323ef29868c48b566a3295d4
AVAX,WBTC.e/AVAX,PangolinV2,AVAX,234657.0,0.7576999999999999,134555.0,1.3196,-156.36%,(10x),0x7140d22afc110741323ef29868c48b566a3295d4
AVAX,USDC.e/USDT.e,TraderJoe,USDC.e,146088.0,0.21780000000000002,98189.0,0.392,-286.97%,(20x),0xa1feadd11cd6a27bdfd945eb8ef685d8872639fa
AVAX,USDC.e/USDT.e,TraderJoe,USDT.e,143233.0,0.16949999999999998,97622.0,0.31010000000000004,-286.97%,(20x),0xa1feadd11cd6a27bdfd945eb8ef685d8872639fa
AVAX,AVAX/USDT.e,TraderJoe,AVAX,159286.0,0.5886,88096.0,0.9868000000000001,31.10%,(5x),0x20beea9fab7e05b05f110eed0cb4f3b29b3ddfb4
AVAX,AVAX/USDT.e,TraderJoe,USDT.e,132928.0,0.3189,83798.0,0.5653,31.10%,(5x),0x20beea9fab7e05b05f110eed0cb4f3b29b3ddfb4
AVAX,USDC.e/DAI.e,TraderJoe,USDC.e,116100.0,0.2195,83414.0,0.3918,-392.31%,(20x),0xe58cf63240417fa2c91c5bcc92ef1a234ee9bfba
AVAX,USDC.e/DAI.e,TraderJoe,DAI.e,112385.0,0.2407,83145.0,0.4154,-392.31%,(20x),0xe58cf63240417fa2c91c5bcc92ef1a234ee9bfba
AVAX,WETH.e/AVAX,PangolinV2,WETH.e,81370.0,0.0725,63231.0,0.1035,-247.61%,(10x),0xc532a2885027677c4be61f710f7d41941dbad1b1
AVAX,WETH.e/AVAX,PangolinV2,AVAX,88529.0,0.6795,61601.0,1.1405,-247.61%,(10x),0xc532a2885027677c4be61f710f7d41941dbad1b1
AVAX,USDT.e/DAI.e,TraderJoe,USDT.e,84463.0,0.2635,55602.0,0.4517,-468.90%,(20x),0x1d4cee9bbf71e1c4dae1a6b1e10c0b4d7c44f96e
AVAX,USDT.e/DAI.e,TraderJoe,DAI.e,69867.0,0.2403,55745.0,0.4397,-468.90%,(20x),0x1d4cee9bbf71e1c4dae1a6b1e10c0b4d7c44f96e
AVAX,AVAX/USDT.e,PangolinV2,AVAX,53072.0,0.7818,34630.0,1.3386000000000002,-65.48%,(5x),0x734ee20bbad6d191432b34fbfd1493c16f065e9c
AVAX,AVAX/USDT.e,PangolinV2,USDT.e,49055.0,0.2961,35223.0,0.4907,-65.48%,(5x),0x734ee20bbad6d191432b34fbfd1493c16f065e9c
AVAX,AVAX/SPELL,TraderJoe,AVAX,45306.0,0.3601,32669.0,0.5266,310.41%,(5x),0x21249fc0ad45fb3e33c12be0fa2b81000a290c5f
AVAX,AVAX/SPELL,TraderJoe,SPELL,28755.0,0.0842,26104.0,0.12869999999999998,310.41%,(5x),0x21249fc0ad45fb3e33c12be0fa2b81000a290c5f
AVAX,AVAX/IMX.a,Pangolin,AVAX,36697.0,0.3014,29518.0,0.5055,-106.61%,(5x),0xe9439f67201894c30f1c1c6b362f0e9195fb8e2c
AVAX,AVAX/IMX.a,Pangolin,IMX.a,40290.0,0.0722,24002.0,0.1186,-106.61%,(5x),0xe9439f67201894c30f1c1c6b362f0e9195fb8e2c
AVAX,JOE/AVAX,TraderJoe,JOE,23519.0,0.4987,23474.0,0.8931999999999999,-64.72%,(5x),0x96c3186132955785f05ff10a7495bf096260af02
AVAX,JOE/AVAX,TraderJoe,AVAX,32879.0,0.44329999999999997,22205.0,0.701,-64.72%,(5x),0x96c3186132955785f05ff10a7495bf096260af02
AVAX,WETH.e/AVAX,Pangolin,WETH.e,34001.0,0.0875,16695.0,0.1369,-99.05%,(10x),0x632d450318f3347d388dc0aa4a0fea888c58fbec
AVAX,WETH.e/AVAX,Pangolin,AVAX,105042.0,0.3519,23525.0,0.5819,-99.05%,(10x),0x632d450318f3347d388dc0aa4a0fea888c58fbec
AVAX,AVAX/XAVA,TraderJoe,AVAX,15404.0,0.6665000000000001,10794.0,1.0293999999999999,-17.15%,(5x),0x2f32fb7c5f3a916fe6b93652f4081b901f2a4701
AVAX,AVAX/XAVA,TraderJoe,XAVA,20479.0,0.44229999999999997,10771.0,0.9434,-17.15%,(5x),0x2f32fb7c5f3a916fe6b93652f4081b901f2a4701
